id,stationName,availableDocks,totalDocks,latitude,longitude,statusValue,statusKey,availableBikes,stAddress1,stAddress2,city,postalCode,location,altitude,testStation,lastCommunicationTime,landMark
335,Washington Pl & Broadway,10,27,40.72903917,-73.99404649,In Service,1,15,Washington Pl & Broadway,,,10003,,,false,2016-12-04 03:10:01 AM,
336,Sullivan St & Washington Sq,21,36,40.73047747,-73.99906065,In Service,1,15,Sullivan St & Washington Sq,,,10012,,,false,2016-12-04 03:08:05 AM,
337,Old Slip & Front St,25,37,40.7037992,-74.00838676,In Service,1,12,Old Slip & Front St,,,10005,,,false,2016-12-04 03:09:56 AM,
339,Avenue D & E 12 St,15,24,40.72580614,-73.97422494,In Service,1,9,Avenue D & E 12 St,,,10009,,,false,2016-12-04 03:08:40 AM,
340,Madison St & Clinton St,10,27,40.71269042,-73.98776323,In Service,1,17,Madison St & Clinton St,,,10002,,,false,2016-12-04 03:10:26 AM,
341,Stanton St & Mangin St,5,19,40.71782143,-73.97628939,In Service,1,14,Stanton St & Mangin St,,,10002,,,false,2016-12-04 03:07:18 AM,
342,Columbia St & Rivington St,3,29,40.71739973,-73.98016555,In Service,1,24,Columbia St & Rivington St,,,10002,,,false,2016-12-04 03:09:29 AM,
343,Clinton Ave & Flushing Ave,7,23,40.69794,-73.96986848,In Service,1,15,Clinton Ave & Flushing Ave,,,11205,,,false,2016-12-04 03:08:57 AM,
344,Monroe St & Bedford Ave,23,23,40.6851443,-73.95380904,In Service,1,0,Monroe St & Bedford Ave,,,11216,,,false,2016-12-04 03:07:22 AM,
345,W 13 St & 6 Ave,16,35,40.73649403,-73.99704374,In Service,1,18,W 13 St & 6 Ave,,,10011,,,false,2016-12-04 03:08:11 AM,
346,Bank St & Hudson St,2,27,40.73652889,-74.00618026,In Service,1,25,Bank St & Hudson St,,,10014,,,false,2016-12-04 03:09:15 AM,
347,Greenwich St & W Houston St,7,35,40.728846,-74.008591,In Service,1,28,Greenwich St & W Houston St,,,10014,,,false,2016-12-04 03:09:42 AM,
348,W Broadway & Spring St,13,42,40.72490985,-74.00154702,In Service,1,29,W Broadway & Spring St,,,10012,,,false,2016-12-04 03:10:11 AM,
349,Rivington St & Ridge St,10,23,40.71850211,-73.98329859,In Service,1,13,Rivington St & Ridge St,,,10002,,,false,2016-12-04 03:08:38 AM,
350,Clinton St & Grand St,10,28,40.71559509,-73.9870295,In Service,1,18,Clinton St & Grand St,,,10002,,,false,2016-12-04 03:10:16 AM,
351,Front St & Maiden Ln,9,39,40.70530954,-74.00612572,In Service,1,29,Front St & Maiden Ln,,,10038,,,false,2016-12-04 03:06:47 AM,
352,W 56 St & 6 Ave,32,36,40.76340613,-73.97722479,In Service,1,2,W 56 St & 6 Ave,,,10019,,,false,2016-12-04 03:10:16 AM,
353,S Portland Ave & Hanson Pl,12,27,40.68539567,-73.97431458,In Service,1,14,S Portland Ave & Hanson Pl,,,11217,,,false,2016-12-04 03:09:04 AM,
354,Emerson Pl & Myrtle Ave,5,23,40.69363137,-73.96223558,In Service,1,18,Emerson Pl & Myrtle Ave,,,11205,,,false,2016-12-04 03:07:36 AM,
355,Bayard St & Baxter St,16,43,40.71602118,-73.99974372,In Service,1,26,Bayard St & Baxter St,,,10013,,,false,2016-12-04 03:10:29 AM,
356,Bialystoker Pl & Delancey St,13,23,40.71622644,-73.98261206,In Service,1,7,Bialystoker Pl & Delancey St,,,10002,,,false,2016-12-04 03:10:01 AM,
357,E 11 St & Broadway,15,27,40.73261787,-73.99158043,In Service,1,12,E 11 St & Broadway,,,10003,,,false,2016-12-04 03:09:13 AM,
358,Christopher St & Greenwich St,9,36,40.73291553,-74.00711384,In Service,1,26,Christopher St & Greenwich St,,,10014,,,false,2016-12-04 03:07:39 AM,
359,E 47 St & Park Ave,50,55,40.75510267,-73.97498696,In Service,1,4,E 47 St & Park Ave,,,10017,,,false,2016-12-04 03:10:20 AM,
360,William St & Pine St,38,39,40.70717936,-74.00887308,In Service,1,1,William St & Pine St,,,10005,,,false,2016-12-04 03:10:03 AM,
361,Allen St & Hester St,14,43,40.71605866,-73.99190759,In Service,1,29,Allen St & Hester St,,,10002,,,false,2016-12-04 03:10:14 AM,
362,Broadway & W 37 St,34,57,40.75172632,-73.98753523,In Service,1,22,Broadway & W 37 St,,,10018,,,false,2016-12-04 03:07:30 AM,
363,West Thames St,7,49,40.70834698,-74.01713445,In Service,1,41,West Thames St,,,10280,,,false,2016-12-04 03:07:13 AM,
364,Lafayette Ave & Classon Ave,27,27,40.68900443,-73.96023854,In Service,1,0,Lafayette Ave & Classon Ave,,,11238,,,false,2016-12-04 03:08:45 AM,
365,Fulton St & Grand Ave,19,31,40.68223166,-73.9614583,In Service,1,12,Fulton St & Grand Ave,,,11238,,,false,2016-12-04 03:09:46 AM,
366,Clinton Ave & Myrtle Ave,26,33,40.693261,-73.968896,In Service,1,6,Clinton Ave & Myrtle Ave,,,11205,,,false,2016-12-04 03:10:12 AM,
367,E 53 St & Lexington Ave,31,34,40.75828065,-73.97069431,In Service,1,3,E 53 St & Lexington Ave,,,10022,,,false,2016-12-04 03:08:24 AM,
368,Carmine St & 6 Ave,4,39,40.73038599,-74.00214988,In Service,1,33,Carmine St & 6 Ave,,,10014,,,false,2016-12-04 03:07:37 AM,
369,Washington Pl & 6 Ave,20,35,40.73224119,-74.00026394,In Service,1,15,Washington Pl & 6 Ave,,,10014,,,false,2016-12-04 03:08:31 AM,
372,Franklin Ave & Myrtle Ave,22,27,40.694528,-73.958089,In Service,1,5,Franklin Ave & Myrtle Ave,,,11205,,,false,2016-12-04 03:07:45 AM,
373,Willoughby Ave & Walworth St,8,19,40.69331716,-73.95381995,In Service,1,11,Willoughby Ave & Walworth St,,,11205,,,false,2016-12-04 03:09:37 AM,
376,John St & William St,7,43,40.70862144,-74.00722156,In Service,1,36,John St & William St,,,10038,,,false,2016-12-04 03:09:22 AM,
377,6 Ave & Canal St,26,47,40.72243797,-74.00566443,In Service,1,20,6 Ave & Canal St,,,10013,,,false,2016-12-04 03:07:31 AM,
379,W 31 St & 7 Ave,11,42,40.749156,-73.9916,In Service,1,31,W 31 St & 7 Ave,,,10001,,,false,2016-12-04 03:08:34 AM,
380,W 4 St & 7 Ave S,9,39,40.73401143,-74.00293877,In Service,1,28,W 4 St & 7 Ave S,,,10014,,,false,2016-12-04 03:06:56 AM,
382,University Pl & E 14 St,8,36,40.73492695,-73.99200509,In Service,1,25,University Pl & E 14 St,,,10003,,,false,2016-12-04 03:09:53 AM,
383,Greenwich Ave & Charles St,23,39,40.735238,-74.000271,In Service,1,15,Greenwich Ave & Charles St,,,10014,,,false,2016-12-04 03:09:46 AM,
384,Fulton St & Washington Ave,29,31,40.683048,-73.964915,In Service,1,2,Fulton St & Washington Ave,,,11238,,,false,2016-12-04 03:07:17 AM,
385,E 55 St & 2 Ave,26,29,40.75797322,-73.96603308,In Service,1,3,E 55 St & 2 Ave,,,10022,,,false,2016-12-04 03:09:50 AM,
386,Centre St & Worth St,5,43,40.71494807,-74.00234482,In Service,1,38,Centre St & Worth St,,,10013,,,false,2016-12-04 03:10:07 AM,
387,Centre St & Chambers St,14,39,40.71273266,-74.0046073,In Service,1,25,Centre St & Chambers St,,,10013,,,false,2016-12-04 03:09:43 AM,
388,W 26 St & 10 Ave,3,35,40.749717753,-74.002950346,In Service,1,32,W 26 St & 10 Ave,,,10001,,,false,2016-12-04 03:07:05 AM,
389,Broadway & Berry St,24,27,40.71044554,-73.96525063,In Service,1,3,Broadway & Berry St,,,11249,,,false,2016-12-04 03:10:25 AM,
390,Duffield St & Willoughby St,17,31,40.69221589,-73.9842844,In Service,1,13,Duffield St & Willoughby St,,,11201,,,false,2016-12-04 03:08:26 AM,
391,Clark St & Henry St,25,31,40.69760127,-73.99344559,In Service,1,6,Clark St & Henry St,,,11201,,,false,2016-12-04 03:08:43 AM,
392,Jay St & Tech Pl,13,32,40.695065,-73.987167,In Service,1,19,Jay St & Tech Pl,,,11201,,,false,2016-12-04 03:08:51 AM,
393,E 5 St & Avenue C,26,31,40.72299208,-73.97995466,In Service,1,5,E 5 St & Avenue C,,,10009,,,false,2016-12-04 03:08:10 AM,
394,E 9 St & Avenue C,22,32,40.72521311,-73.97768752,In Service,1,10,E 9 St & Avenue C,,,10009,,,false,2016-12-04 03:10:28 AM,
395,Bond St & Schermerhorn St,27,30,40.68807003,-73.98410637,In Service,1,3,Bond St & Schermerhorn St,,,11217,,,false,2016-12-04 03:07:30 AM,
396,Lefferts Pl & Franklin Ave,24,25,40.680342423,-73.9557689392,In Service,1,1,Lefferts Pl & Franklin Ave,,,11238,,,false,2016-12-04 03:06:58 AM,
397,Fulton St & Clermont Ave,22,27,40.68415748,-73.96922273,In Service,1,5,Fulton St & Clermont Ave,,,11238,,,false,2016-12-04 03:09:40 AM,
398,Atlantic Ave & Furman St,19,31,40.69165183,-73.9999786,In Service,1,11,Atlantic Ave & Furman St,,,11201,,,false,2016-12-04 03:08:30 AM,
399,Lafayette Ave & St James Pl,17,27,40.68851534,-73.9647628,In Service,1,10,Lafayette Ave & St James Pl,,,11205,,,false,2016-12-04 03:08:04 AM,
400,Pitt St & Stanton St,10,15,40.71926081,-73.98178024,In Service,1,5,Pitt St & Stanton St,,,10002,,,false,2016-12-04 03:09:09 AM,
401,Allen St & Rivington St,13,42,40.72019576,-73.98997825,In Service,1,29,Allen St & Rivington St,,,10002,,,false,2016-12-04 03:09:03 AM,
