STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,10/10/13,0,0,0,65,54,8.9
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,10/11/13,0.02,0,0,68,60,9.4
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,10/12/13,0,0,0,72,60,11.2
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,10/13/13,0,0,0,65,56,8.5
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,10/14/13,0,0,0,66,52,2.5
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,10/15/13,0,0,0,72,53,2.9
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,10/16/13,0,0,0,67,56,3.1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,10/17/13,0.02,0,0,73,61,2.7
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,10/18/13,0,0,0,68,55,6.7
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,10/19/13,0.01,0,0,64,52,3.4
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,10/20/13,0,0,0,63,50,5.6
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,10/21/13,0,0,0,66,50,3.8
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,10/22/13,0,0,0,67,51,4.5
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,10/23/13,0,0,0,55,45,4.5
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,10/24/13,0,0,0,54,41,6.7
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,10/25/13,0,0,0,53,40,5.1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,10/26/13,0,0,0,55,41,6.3
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,10/27/13,0,0,0,58,46,5.1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,10/28/13,0,0,0,61,43,4.5
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,10/29/13,0,0,0,56,44,4.9
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,10/30/13,0,0,0,60,47,2
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,10/31/13,0.06,0,0,66,53,3.6
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,11/1/13,0.13,0,0,70,59,4.9
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,11/2/13,0,0,0,68,55,3.8
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,11/3/13,0,0,0,55,37,6.3
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,11/4/13,0,0,0,46,35,6.5
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,11/5/13,0,0,0,55,41,4
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,11/6/13,0,0,0,61,49,3.6
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,11/7/13,0.13,0,0,64,44,6.7
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,11/8/13,0,0,0,50,40,8.7
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,11/9/13,0,0,0,50,38,4.9
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,11/10/13,0,0,0,61,44,7.6
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,11/11/13,0,0,0,53,43,6.5
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,11/12/13,0.03,0,0,52,31,6.3
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,11/13/13,0,0,0,39,29,6
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,11/14/13,0,0,0,52,33,8.1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,11/15/13,0,0,0,57,44,4.7
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,11/16/13,0.05,0,0,60,45,2.7
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,11/17/13,0.03,0,0,60,51,3.6
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,11/18/13,0.22,0,0,65,51,7.4
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,11/19/13,0,0,0,51,36,9.2
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,11/20/13,0,0,0,44,32,6.9
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,11/21/13,0,0,0,52,35,4.9
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,11/22/13,0.07,0,0,57,51,6.3
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,11/23/13,0,0,0,54,31,9.6
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,11/24/13,0,0,0,30,23,12.1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,11/25/13,0,0,0,35,23,5.8
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,11/26/13,0.51,0,0,47,33,4.3
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,11/27/13,1.98,0,0,62,35,9.6
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,11/28/13,0,0,0,35,30,7.2
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,11/29/13,0,0,0,39,29,3.8
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,11/30/13,0,0,0,39,25,5.1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,12/1/13,0,0,0,49,36,1.8
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,12/2/13,0,0,0,49,41,3.1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,12/3/13,0,0,0,53,38,3.1
